zaman,yukseklik,ivme
27.30,3580.9,-9.8187
27.35,3581.8,-9.8166
27.40,3582.6,-9.815
27.45,3583.4,-9.8135
27.50,3584.1,-9.8118
27.55,3584.9,-9.8102
27.60,3585.6,-9.8086
27.65,3586.3,-9.8072
27.70,3586.9,-9.8059
27.75,3587.6,-9.8044
27.80,3588.2,-9.8028
27.85,3588.8,-9.8017
27.90,3589.3,-9.8006
27.95,3589.9,-9.7991
28.00,3590.4,-9.7977
28.05,3590.9,-9.7962
28.10,3591.4,-9.7935
28.15,3591.8,-9.7916
28.20,3592.2,-9.791
28.25,3592.6,-9.7905
28.30,3593.0,-9.7894
28.35,3593.3,-9.7878
28.40,3593.6,-9.7875
28.45,3593.9,-9.7858
28.50,3594.2,-9.7834
28.55,3594.5,-9.7804
28.60,3594.7,-9.7802
28.65,3594.9,-9.779
28.70,3595.0,-9.7792
28.75,3595.2,-9.7797
28.80,3595.3,-9.7853
28.85,3595.4,-9.7848
28.90,3595.5,-9.7849
28.95,3595.5,-9.7852
29.00,3595.6,-9.7851
29.05,3595.6,-9.785
29.10,3595.6,-9.7845
29.15,3595.5,-9.764
29.20,3595.4,-9.7418
29.25,3595.3,-9.7197
29.30,3595.2,-9.6958
29.35,3595.0,-9.673
29.40,3594.9,-9.6536
29.45,3594.7,-9.6142
29.50,3594.4,-9.5765
29.55,3594.2,-9.5371
29.60,3593.9,-9.4911
29.65,3593.6,-9.4389
29.70,3593.2,-9.3785
29.75,3592.8,-9.3129
29.80,3592.4,-9.2572
29.85,3592.0,-9.1873
29.90,3591.5,-9.1109
29.95,3591.1,-9.0336
30.00,3590.5,-8.9535
30.05,3590.0,-8.8683
30.10,3589.4,-8.7786
30.15,3588.7,-8.6733
30.20,3588.1,-8.5559
30.25,3587.4,-8.4439
30.30,3586.6,-8.3261
30.35,3585.8,-8.2119
30.40,3585.0,-8.0934
30.45,3584.1,-7.9734
30.50,3583.2,-7.8416
30.55,3582.2,-7.7087
30.60,3581.2,-7.5716
30.65,3580.1,-7.4266
30.70,3579.0,-7.2754
30.75,3577.8,-7.114
30.80,3576.6,-6.9547
30.85,3575.2,-6.7949
30.90,3573.9,-6.6184
30.95,3572.4,-6.4429
31.00,3570.8,-6.2646
31.05,3569.2,-6.0846
31.10,3567.5,-5.8937
31.15,3565.6,-5.6995
31.20,3563.7,-5.508
31.25,3561.6,-5.3066
31.30,3559.4,-5.0994
31.35,3557.1,-4.8889
31.40,3554.6,-4.6658
31.45,3551.9,-4.449
31.50,3549.0,-4.2191
31.55,3545.9,-3.9846
31.60,3542.5,-3.7304
31.65,3538.9,-3.4852
